OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, comb, up, 0, -2.4, 2.4, 300, 670, 0, 1, "0.964556+0.12450512498617172" 
1, mujets, central, 1, -2.4, 2.4, 30, 670, 0, 1, "0.968552" 
1, mujets, central, 0, -2.4, 2.4, 30, 670, 0, 1, "0.968552" 
1, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "0.968552-0.093881629407405853" 
1, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "0.968552-0.10525801777839661" 
1, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "0.968552-0.095684327185153961" 
1, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "0.968552-0.11605538427829742" 
1, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "0.968552-0.196931391954422" 
1, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "0.968552-0.16734565794467926" 
1, mujets, down, 1, -2.4, 2.4, 300, 670, 0, 1, "0.968552-0.25004181265830994" 
1, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.968552-0.046940814703702927" 
1, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.968552-0.052629008889198303" 
1, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.968552-0.047842163592576981" 
1, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.968552-0.058027692139148712" 
1, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.968552-0.098465695977210999" 
1, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.968552-0.08367282897233963" 
1, mujets, down, 0, -2.4, 2.4, 300, 670, 0, 1, "0.968552-0.12502090632915497" 
1, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "0.968552+0.093881629407405853" 
1, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "0.968552+0.10525801777839661" 
1, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "0.968552+0.095684327185153961" 
1, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "0.968552+0.11605538427829742" 
1, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "0.968552+0.196931391954422" 
1, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "0.968552+0.16734565794467926" 
1, mujets, up, 1, -2.4, 2.4, 300, 670, 0, 1, "0.968552+0.25004181265830994" 
1, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "0.968552+0.046940814703702927" 
1, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "0.968552+0.052629008889198303" 
1, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "0.968552+0.047842163592576981" 
1, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "0.968552+0.058027692139148712" 
1, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "0.968552+0.098465695977210999" 
1, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "0.968552+0.08367282897233963" 
1, mujets, up, 0, -2.4, 2.4, 300, 670, 0, 1, "0.968552+0.12502090632915497" 
2, comb, central, 1, -2.4, 2.4, 30, 670, 0, 1, "0.921826" 
2, comb, central, 0, -2.4, 2.4, 30, 670, 0, 1, "0.921826" 
2, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "0.921826-0.076370924711227417" 
2, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "0.921826-0.096718423068523407" 
2, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "0.921826-0.072690784931182861" 
2, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "0.921826-0.18193449079990387" 
2, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "0.921826-0.17593351006507874" 
2, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "0.921826-0.52129054069519043" 
2, comb, down, 1, -2.4, 2.4, 300, 670, 0, 1, "0.921826-0.41978824138641357" 
2, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.921826-0.038185462355613708" 
2, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.921826-0.048359211534261703" 
2, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.921826-0.036345392465591431" 
2, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.921826-0.090967245399951935" 
2, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.921826-0.087966755032539368" 
2, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.921826-0.26064527034759521" 
2, comb, down, 0, -2.4, 2.4, 300, 670, 0, 1, "0.921826-0.20989412069320679" 
2, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "0.921826+0.076370924711227417" 
2, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "0.921826+0.096718423068523407" 
2, comb, up, 1, -2.4, 2.4, 70, 100, 0, 1, "0.921826+0.072690784931182861" 
2, comb, up, 1, -2.4, 2.4, 100, 140, 0, 1, "0.921826+0.18193449079990387" 
2, comb, up, 1, -2.4, 2.4, 140, 200, 0, 1, "0.921826+0.17593351006507874" 
2, comb, up, 1, -2.4, 2.4, 200, 300, 0, 1, "0.921826+0.52129054069519043" 
2, comb, up, 1, -2.4, 2.4, 300, 670, 0, 1, "0.921826+0.41978824138641357" 
2, comb, up, 0, -2.4, 2.4, 30, 50, 0, 1, "0.921826+0.038185462355613708" 
2, comb, up, 0, -2.4, 2.4, 50, 70, 0, 1, "0.921826+0.048359211534261703" 
2, comb, up, 0, -2.4, 2.4, 70, 100, 0, 1, "0.921826+0.036345392465591431" 
2, comb, up, 0, -2.4, 2.4, 100, 140, 0, 1, "0.921826+0.090967245399951935" 
2, comb, up, 0, -2.4, 2.4, 140, 200, 0, 1, "0.921826+0.087966755032539368" 
2, comb, up, 0, -2.4, 2.4, 200, 300, 0, 1, "0.921826+0.26064527034759521" 
2, comb, up, 0, -2.4, 2.4, 300, 670, 0, 1, "0.921826+0.20989412069320679" 
2, mujets, central, 1, -2.4, 2.4, 30, 670, 0, 1, "0.924579" 
2, mujets, central, 0, -2.4, 2.4, 30, 670, 0, 1, "0.924579" 
2, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "0.924579-0.077407196164131165" 
2, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "0.924579-0.10164721310138702" 
2, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "0.924579-0.079413875937461853" 
2, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "0.924579-0.19385893642902374" 
2, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "0.924579-0.18094456195831299" 
2, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "0.924579-0.52050447463989258" 
2, mujets, down, 1, -2.4, 2.4, 300, 670, 0, 1, "0.924579-0.42104199528694153" 
2, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.924579-0.038703598082065582" 
2, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.924579-0.050823606550693512" 
2, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.924579-0.039706937968730927" 
2, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.924579-0.096929468214511871" 
2, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.924579-0.090472280979156494" 
2, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.924579-0.26025223731994629" 
2, mujets, down, 0, -2.4, 2.4, 300, 670, 0, 1, "0.924579-0.21052099764347076" 
2, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "0.924579+0.077407196164131165" 
2, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "0.924579+0.10164721310138702" 
2, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "0.924579+0.079413875937461853" 
2, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "0.924579+0.19385893642902374" 
2, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "0.924579+0.18094456195831299" 
